platform,title,meta_score,user_score,num_critics,num_users,genres,developer,release_date
pc,VANQUISH,78,8.8,21,422 Ratings,"['Action', 'Shooter', 'Third-Person', 'Arcade']",PlatinumGames,25-May-17
pc,THE DISNEY AFTERNOON COLLECTION,78,6.1,8,12 Ratings,"['Miscellaneous', 'Compilation']","Capcom, Digital Eclipse",18-Apr-17
pc,OBSERVER,78,7.8,43,289 Ratings,"['Adventure', '3D', 'First-Person']",Bloober Team,15-Aug-17
pc,KEN FOLLETT'S THE PILLARS OF THE EARTH,78,7.9,20,70 Ratings,"['Adventure', 'Visual Novel']",Daedalic Entertainment,15-Aug-17
pc,BATTLE CHASERS: NIGHTWAR,78,7.4,28,113 Ratings,"['Role-Playing', 'Action RPG', 'Japanese-Style']",Airship Syndicate Entertainment,3-Oct-17
pc,SNIPER ELITE 4,78,7.2,31,244 Ratings,"['Action', 'Shooter', 'First-Person', 'Tactical']",Rebellion,14-Feb-17
pc,DIRT 4,78,6.6,15,142 Ratings,"['Racing', 'Simulation', 'Automobile']",Codemasters,8-Jun-17
pc,MARVEL'S GUARDIANS OF THE GALAXY: THE TELLTALE SERIES,78,7.1,7,61 Ratings,"['Action', 'Adventure', 'General', '3D', 'Third-Person']",Telltale Games,18-Apr-17
pc,RIME,78,7.3,19,206 Ratings,"['Action', 'Adventure', 'General', '3D', 'Third-Person']","Tequila Works, QLOC",26-May-17
pc,STAR TREK: BRIDGE CREW,78,7.6,12,25 Ratings,"['Action Adventure', 'General']","Ubisoft, Red Storm Entertainment",30-May-17
pc,SHADOWS OF ADAM,78,6.9,8,22 Ratings,"['Role-Playing', 'Japanese-Style']",Something Classic Games LLC,23-Feb-17
pc,BRIDGE CONSTRUCTOR PORTAL,77,6.6,29,48 Ratings,"['Simulation', 'Virtual', 'Career']",ClockStone Software,20-Dec-17
pc,THE ELDER SCROLLS ONLINE: MORROWIND,77,6.7,32,137 Ratings,"['Role-Playing', 'Massively Multiplayer']",ZeniMax Media,22-May-17
pc,FIGMENT,77,7.1,8,39 Ratings,"['Action', 'Action Adventure', 'General']",Bedtime Digital Games,22-Sep-17
pc,THE LONG DARK,77,6.6,16,412 Ratings,"['Simulation', 'Action Adventure', 'General', 'Survival']",Hinterland,1-Aug-17
pc,WORLD OF FINAL FANTASY,77,7.7,11,99 Ratings,"['Role-Playing', 'Japanese-Style']",Square Enix,21-Nov-17
pc,HERALD: AN INTERACTIVE PERIOD DRAMA,77,tbd,7,,,,
pc,COSMIC STAR HEROINE,77,7.1,8,25 Ratings,"['Console-style RPG', 'Console-style RPG', 'Role-Playing', 'Japanese-Style']",Zeboyd Games,11-Apr-17
pc,BATTLESTAR GALACTICA DEADLOCK,77,7.2,8,19 Ratings,"['Strategy', 'Turn-Based', 'General', '4X']",Black Lab Games,31-Aug-17
pc,"WARHAMMER 40,000: DAWN OF WAR III",77,4.6,76,485 Ratings,"['Sci-Fi', 'Strategy', 'Real-Time', 'General']",Relic,27-Apr-17
