platform,title,meta_score,user_score,num_critics,num_users,genres,developer,release_date
ps4,RESIDENT EVIL 7: BIOHAZARD - END OF ZOE,75,7.6,13,69 Ratings,"['Action Adventure', 'Survival']",Capcom,12-Dec-17
ps4,NHL 18,75,3.6,27,100 Ratings,"['Sports', 'Team', 'Ice Hockey', 'Sim']",EA Sports,12-Sep-17
ps4,JUST DANCE 2018,75,5.8,12,18 Ratings,"['Action', 'Rhythm', 'Dancing']",Ubisoft Paris,24-Oct-17
ps4,BATTLE CHASERS: NIGHTWAR,75,6.9,34,84 Ratings,"['Role-Playing', 'Action RPG', 'Japanese-Style']",Airship Syndicate Entertainment,3-Oct-17
ps4,THE LONG DARK,75,6.7,16,67 Ratings,"['Simulation', 'Action Adventure', 'General', 'Survival']",Hinterland,1-Aug-17
ps4,GRAN TURISMO SPORT,75,6.1,83,1715 Ratings,"['Racing', 'Simulation', 'Automobile']",Polyphony Digital,17-Oct-17
ps4,BULLETSTORM: FULL CLIP EDITION,75,7.1,43,146 Ratings,"['Action', 'Shooter', 'First-Person', 'Arcade']",People Can Fly,7-Apr-17
ps4,GRACEFUL EXPLOSION MACHINE,75,tbd,10,,,,
ps4,LAST DAY OF JUNE,75,7.3,31,45 Ratings,"['Adventure', 'General', '3D', 'Third-Person']",Ovosonico,31-Aug-17
ps4,KEN FOLLETT'S THE PILLARS OF THE EARTH,75,6.7,9,20 Ratings,"['Adventure', 'Visual Novel']",Kalypso,12-Sep-17
ps4,UTAWARERUMONO: MASK OF TRUTH,75,8.4,22,41 Ratings,"['Strategy', 'Turn-Based', 'General']",Aqua Plus,5-Sep-17
ps4,THE ELDER SCROLLS ONLINE: MORROWIND,75,6.4,15,55 Ratings,"['Role-Playing', 'Massively Multiplayer']",Bethesda Softworks,6-Jun-17
ps4,STAR TREK: BRIDGE CREW,75,7,42,64 Ratings,"['Action Adventure', 'General']","Ubisoft, Red Storm Entertainment",30-May-17
ps4,TOKYO XANADU EX+,75,7.9,16,59 Ratings,"['Role-Playing', 'Action RPG']",Falcom,8-Dec-17
ps4,CHROMAGUN,74,6,10,6 Ratings,"['Puzzle', 'Action', 'Shooter', 'First-Person', 'Arcade']",Pixel Maniacs,22-Aug-17
ps4,PINBALL FX 2: STAR WARS PINBALL - ROGUE ONE,74,3.5,7,6 Ratings,"['Action', 'Pinball']",Zen Studios,31-Jan-17
ps4,GOD WARS: FUTURE PAST,74,6.6,16,34 Ratings,"['Strategy', 'Turn-Based', 'Tactics']",Kadokawa,20-Jun-17
ps4,SAMURAI WARRIORS: SPIRIT OF SANADA,74,7.1,31,19 Ratings,"['Action', ""Beat-'Em-Up"", '3D']",Omega Force,23-May-17
ps4,CHROMA SQUAD,74,6.7,7,9 Ratings,"['Strategy', 'Turn-Based', 'Tactics']",Behold Studios,19-May-17
ps4,SKY FORCE RELOADED,74,7.9,13,26 Ratings,"['Action', 'Shooter', ""Shoot-'Em-Up"", 'Vertical']",Infinite Dreams Inc.,28-Nov-17
ps4,ATELIER FIRIS: THE ALCHEMIST AND THE MYSTERIOUS JOURNEY,74,7.1,31,48 Ratings,"['Role-Playing', 'Japanese-Style']",Koei Tecmo Games,7-Mar-17
ps4,SPARC,74,7,16,31 Ratings,"['Sports', 'Team', 'Futuristic']","CCP, CCP Games",29-Aug-17
ps4,CAT QUEST,74,7.5,10,50 Ratings,"['Role-Playing', 'Action RPG']",The Gentlebros,14-Nov-17
ps4,ASHES CRICKET,73,7.5,7,47 Ratings,"['Sports', 'Team', 'Cricket']",Big Ant Studios,16-Nov-17
ps4,WORLD TO THE WEST,73,5.9,17,7 Ratings,"['Action Adventure', 'Linear']","Rain Games, Soedesco",5-May-17
ps4,MAGES OF MYSTRALIA,73,7.2,7,6 Ratings,"['Action Adventure', 'General', 'Linear']",Borealys Games,22-Aug-17
ps4,LEGO MARVEL SUPER HEROES 2,73,7.2,61,71 Ratings,"['Action', 'Platformer', '3D']",TT Games,14-Nov-17
ps4,DEMON GAZE II,73,6.7,17,19 Ratings,"['Role-Playing', 'Western-Style']",Experience Inc.,14-Nov-17
ps4,AVEN COLONY,73,7.2,16,19 Ratings,"['Strategy', 'Management', 'Government']","Sold Out Software, Mothership Entertainment",25-Jul-17
ps4,THE SURGE,73,6.6,57,331 Ratings,"['Role-Playing', 'Action RPG']",Deck 13,16-May-17
ps4,RAIDEN V: DIRECTOR'S CUT,73,6.4,14,15 Ratings,"['Action', 'Shooter', ""Shoot-'Em-Up"", 'Vertical']",Moss,10-Oct-17
ps4,NIDHOGG 2,73,5.9,24,18 Ratings,"['Action', 'General']",Messhof,15-Sep-17
ps4,CLADUN RETURNS: THIS IS SENGOKU!,73,6.2,12,9 Ratings,"['Role-Playing', 'Action RPG']",Nippon Ichi Software,6-Jun-17
ps4,STYX: SHARDS OF DARKNESS,72,7.2,31,63 Ratings,"['Action Adventure', 'General']",Cyanide,14-Mar-17
ps4,CASTLESTORM: VIRTUAL REALITY,72,4.3,11,7 Ratings,"['Strategy', 'Real-Time', 'Defense']",Zen Studios,1-Aug-17
ps4,CARS 3: DRIVEN TO WIN,72,6.6,19,36 Ratings,"['Racing', 'Arcade', 'Automobile']",Avalanche Software,13-Jun-17
ps4,88 HEROES,72,5.8,8,5 Ratings,"['Action', 'Platformer', '2D']","Rising Star Games, Bitmap Bureau",24-Mar-17
ps4,SENKO NO RONDE 2,72,tbd,7,,,,
