platform,title,meta_score,user_score,num_critics,num_users,genres,developer,release_date
pc,DIABLO III: RISE OF THE NECROMANCER,76.0,4.6,23.0,179,"Role-Playing, Action RPG",Blizzard Entertainment,2017-06-27
pc,OUTLAST 2,75.0,6.6,48.0,591,"Action Adventure, Survival",Red Barrels,2017-04-25
pc,RICK AND MORTY: VIRTUAL RICK-ALITY,75.0,6.3,14.0,20,"Simulation, General",Owlchemy Labs,2017-04-15
pc,VAPORUM,75.0,7.1,9.0,26,"Role-Playing, Action RPG",Fatbot Games,2017-09-28
pc,MIDDLE-EARTH: SHADOW OF WAR,75.0,4.2,17.0,982,"Action Adventure, Open-World",Monolith Productions,2017-10-09
pc,ABSOLVER,75.0,6,41.0,94,"Role-Playing, Action RPG",Sloclap,2017-08-29
pc,STARS IN SHADOW,75.0,8.3,9.0,23,"Strategy, Turn-Based, General, 4X",Ashdar Games,2017-01-19
pc,RUINER,75.0,7.6,41.0,190,"Action, General",Reikon Games,2017-09-26
pc,GET EVEN,75.0,7.6,31.0,110,"Modern, Action, Shooter, First-Person, Arcade",The Farm 51,2017-06-20
pc,ATTENTAT 1942,75.0,7.5,13.0,8,"Adventure, General, Visual Novel",Charles University,2017-10-31
pc,THE ESCAPISTS 2,75.0,7.5,12.0,63,"Action, General",Mouldy Toof Studios,2017-08-21
pc,ODE,75.0,6.7,19.0,10,"Adventure, 3D, Third-Person",Ubisoft Reflections,2017-11-27
pc,DUNGEONS 3,75.0,7.7,17.0,75,"Strategy, General",Realmforge Studios,2017-10-13
pc,BOMBER CREW,75.0,7.5,8.0,32,"Simulation, Flight, Combat",Runner Duck,2017-10-19
pc,LIFE IS STRANGE: BEFORE THE STORM - EPISODE 3: HELL IS EMPTY,75.0,6.3,11.0,65,"Action Adventure, General",Deck Nine Games,2017-12-20
pc,SUNDERED,74.0,7.5,39.0,59,"Action Adventure, General",Thunder Lotus Games,2017-07-28
