platform,title,meta_score,user_score,num_critics,num_users,genres,developer,release_date
ps4,ELITE: DANGEROUS,77,6.9,17,131,"Simulation, Space, Civilian",Frontier Developments,2017-06-27
ps4,LINELIGHT,77,5.5,8,14,"Puzzle, Action",My Dog Zorro,2017-01-31
ps4,LIFE IS STRANGE: BEFORE THE STORM - EPISODE 3: HELL IS EMPTY,77,7.4,26,85,"Action Adventure, General",Deck Nine Games,2017-12-19
ps4,LIFE IS STRANGE: BEFORE THE STORM,77,7.8,19,456,"Action Adventure, General",Deck Nine Games,2017-08-31
ps4,LEGO CITY UNDERCOVER,77,7.4,27,52,"Action Adventure, Open-World",TT Games,2017-04-04
ps4,THE ELDER SCROLLS V: SKYRIM VR,77,8,44,276,"Role-Playing, Western-Style",Bethesda Softworks,2017-11-17
ps4,OBSERVER,77,7.3,19,93,"Adventure, 3D, First-Person",Bloober Team,2017-08-15
ps4,THE SEXY BRUTALE,77,7.7,28,76,"Adventure, General","Abstraction Games, Tequila Works, Cavalier Game Studios",2017-04-11
ps4,SNIPER ELITE 4,77,7,55,294,"Action, Shooter, First-Person, Tactical",Rebellion,2017-02-14
ps4,YS ORIGIN,77,7.1,18,52,"Role-Playing, Action RPG",Falcom,2017-05-30
ps4,TOUKIDEN 2,77,7.5,46,93,"Role-Playing, Action RPG",Koei Tecmo Games,2017-03-21
ps4,GNOG,77,7,29,33,"Adventure, General",KO-OP,2017-05-02
ps4,AAERO,77,5.1,8,9,"Action, Shooter, Rail",Mad Fellows Ltd,2017-04-11
ps4,THE DISNEY AFTERNOON COLLECTION,76,6.4,38,13,"Miscellaneous, Compilation","Capcom, Digital Eclipse",2017-04-18
ps4,KINGDOM HEARTS HD 2.8 FINAL CHAPTER PROLOGUE,76,8.2,69,412,"Miscellaneous, Compilation, Role-Playing, Action RPG",Square Enix,2017-01-24
ps4,DRAGON QUEST HEROES II,76,7.6,68,79,"Action, Beat-Em-Up, 3D",Omega Force,2017-04-25
ps4,TORMENT: TIDES OF NUMENERA,76,7,20,82,"General, Role-Playing, Western-Style",InXile Entertainment,2017-02-28
ps4,COSMIC STAR HEROINE,76,7.5,8,47,"Console-style RPG, Console-style RPG, Role-Playing, Japanese-Style",Zeboyd Games,2017-04-11
ps4,2064: READ ONLY MEMORIES,76,3.4,14,554,"General, Adventure, Point-and-Click",MidBoss,2017-01-17
ps4,CHIME SHARP,76,2.9,9,16,"Puzzle, General",Chilled Mouse,2017-02-21
ps4,L.A. NOIRE,76,7.9,17,259,"Action Adventure, Adventure, 3D, Open-World, Third-Person",Team Bondi,2017-11-14
ps4,CHAOS;CHILD,76,8.4,18,36,"Adventure, General, Visual Novel",5pb,2017-10-17
ps4,CALL OF DUTY: INFINITE WARFARE - SABOTAGE,76,1.8,11,36,"Action, Shooter, First-Person, Tactical",Infinity Ward,2017-01-31
ps4,WINDJAMMERS,76,6.8,30,13,"Sports, Individual, Other",DotEmu,2017-08-29
ps4,NIOH: DRAGON OF THE NORTH,76,7.7,14,81,"Role-Playing, Action RPG",Team Ninja,2017-05-02
ps4,FLINTHOOK,76,6.3,14,24,"Action, Platformer, 2D",Tribute Games,2017-04-14
ps4,MOMODORA: REVERIE UNDER THE MOONLIGHT,76,7.3,22,41,"Action, Action Adventure, General, Open-World",Bombservice,2017-03-16
ps4,THE GOLF CLUB 2,76,5.9,20,29,"Sports, Individual, Golf, Arcade","HB Studios Multimedia, Maximum Games",2017-06-27
ps4,LAWBREAKERS,76,5.8,32,114,"Third-Person, Arcade, Action, Shooter, First-Person, Tactical",Boss Key Productions,2017-08-08
ps4,THE EVIL WITHIN 2,76,8.5,67,1346,"Action Adventure, Survival",Tango Gameworks,2017-10-13
ps4,VICTOR VRAN: OVERKILL EDITION,76,7.2,15,24,"Role-Playing, Action RPG",Haemimont Games,2017-05-30
ps4,THE FLAME IN THE FLOOD: COMPLETE EDITION,76,6.2,31,23,"Action Adventure, General, Survival",The Molasses Flood,2017-01-17
